"","Crab","Group","Treatment","X8.20.2018","X8.21.2018","X8.22.2018","X8.23.2018","X8.24.2018","X8.25.2018","X8.26.2018","X8.27.2018","X8.28.2018","X8.29.2018","X8.30.2018","X8.31.2018","X9.1.2018","X9.2.2018","X9.3.2018","X9.4.2018","X9.5.2018","X9.6.2018","X9.7.2018","X9.8.2018","X9.9.2018","X9.10.2018","X9.11.2018","X9.12.2018","X9.13.2018","X9.14.2018","X9.15.2018","X9.16.2018","X9.17.2018","X9.18.2018","X9.19.2018","X9.20.2018","X9.21.2018","X9.22.2018","X9.23.2018","X9.24.2018","X9.25.2018","X9.26.2018","X9.27.2018","X9.28.2018","X9.29.2018","X9.30.2018","X10.1.2018","X10.2.2018","X10.3.2018","X10.4.2018","X10.5.2018","X10.6.2018","X10.7.2018","X10.8.2018","X10.9.2018","X10.10.2018","X10.11.2018","X10.12.2018","X10.13.2018","X10.14.2018","X10.15.2018","X10.16.2018","X10.17.2018","X10.18.2018","X10.19.2018","X10.20.2018","X10.21.2018","X10.22.2018","X10.23.2018","X10.24.2018","X10.25.2018","X10.26.2018","X10.27.2018","X10.28.2018","X10.29.2018","X10.30.2018","X10.31.2018","X11.1.2018","X11.2.2018","X11.3.2018","X11.4.2018","X11.5.2018","X11.6.2018","X11.7.2018","X11.8.2018","X11.9.2018","X11.10.2018","X11.11.2018","X11.12.2018","X11.13.2018","X11.14.2018","X11.15.2018","X11.16.2018","X11.17.2018","X11.18.2018","X11.19.2018","X11.20.2018","X11.21.2018","X11.22.2018","X11.23.2018","X11.24.2018","X11.25.2018","X11.26.2018","X11.27.2018","X11.28.2018","X11.29.2018","X11.30.2018","X12.1.2018","X12.2.2018","X12.3.2018","X12.4.2018","X12.5.2018","X12.6.2018","X12.7.2018","X12.8.2018","X12.9.2018","X12.10.2018","X12.11.2018","X12.12.2018","X12.13.2018","X12.14.2018","X12.15.2018","X12.16.2018","X12.17.2018","X12.18.2018","X12.19.2018","X12.20.2018","X12.21.2018","X12.22.2018","X12.23.2018","X12.24.2018","X12.25.2018","X12.26.2018","X12.27.2018","X12.28.2018","X12.29.2018","X12.30.2018","X12.31.2018","X1.1.2019","X1.2.2019","X1.3.2019","X1.4.2019","X1.5.2019","X1.6.2019","X1.7.2019","X1.8.2019","X1.9.2019","X1.10.2019","X1.11.2019","X1.12.2019","X1.13.2019","X1.14.2019","X1.15.2019","X1.16.2019","X1.17.2019","X1.18.2019","X1.19.2019","X1.20.2019","X1.21.2019","X1.22.2019","X1.23.2019","X1.24.2019","X1.25.2019","X1.26.2019","X1.27.2019","X1.28.2019","X1.29.2019","X1.30.2019","X1.31.2019","X2.1.2019","X2.2.2019","X2.3.2019","X2.4.2019","X2.5.2019","X2.6.2019","X2.7.2019","X2.8.2019","X2.9.2019","X2.10.2019","X2.11.2019","X2.12.2019","X2.13.2019","X2.14.2019","X2.15.2019","X2.16.2019","X2.17.2019","X2.18.2019","X2.19.2019","X2.20.2019","X2.21.2019","X2.22.2019","X2.23.2019","X2.24.2019","X2.25.2019","X2.26.2019","X2.27.2019","X2.28.2019","X3.1.2019","X3.2.2019","X3.3.2019","X3.4.2019","X3.5.2019","X3.6.2019","X3.7.2019","X3.8.2019","X3.9.2019","X3.10.2019","X3.11.2019","X3.12.2019","X3.13.2019","X3.14.2019","X3.15.2019","X3.16.2019","X3.17.2019","X3.18.2019","X3.19.2019","X3.20.2019","X3.21.2019","X3.22.2019","X3.23.2019","X3.24.2019","X3.25.2019","X3.26.2019","X3.27.2019","X3.28.2019","X3.29.2019","X3.30.2019","X3.31.2019","X4.1.2019","X4.2.2019","X4.3.2019","X4.4.2019","X4.5.2019","X4.6.2019","X4.7.2019","X4.8.2019","X4.9.2019","X4.10.2019","X4.11.2019","X4.12.2019","X4.13.2019","X4.15.2019","X4.16.2019","X4.17.2019","X4.18.2019","X4.19.2019","X4.20.2019","X4.21.2019","X4.22.2019","X4.23.2019","X4.24.2019","X4.25.2019","X4.26.2019","X4.27.2019","X4.28.2019","X4.29.2019","X4.30.2019","X5.1.2019","X5.2.2019","X5.3.2019","X5.4.2019","X5.5.2019","X5.6.2019","X5.7.2019","X5.8.2019","X5.9.2019","X5.10.2019","X5.11.2019","X5.12.2019","X5.13.2019","X5.14.2019","X5.15.2019","X5.16.2019","X5.17.2019","X5.18.2019","X5.19.2019","X5.20.2019","X5.21.2019","X5.22.2019","X5.23.2019","X5.24.2019","X5.25.2019","X5.26.2019","X5.27.2019","X5.28.2019","X5.29.2019","X5.30.2019","X5.31.2019","X6.1.2019","X6.2.2019","X6.3.2019","X6.4.2019","X6.5.2019","X6.6.2019","X6.7.2019","X6.8.2019","X6.9.2019","X6.10.2019","X6.11.2019","X6.12.2019","X6.13.2019","X6.14.2019","X6.15.2019","X6.16.2019","X6.17.2019","X6.18.2019","X6.19.2019","X6.20.2019","X6.21.2019","X6.22.2019","X6.23.2019","X6.24.2019","X6.25.2019","X6.26.2019","X6.27.2019","X6.28.2019","X6.29.2019","X6.30.2019","X7.1.2019","X7.2.2019","X7.3.2019","X7.4.2019","X7.5.2019","X7.6.2019","X7.7.2019","X7.8.2019","X7.9.2019","X7.10.2019"
"196","CH05_35","HC","High CO2","----","----","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","G","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----"
"197","CH05_38","HC","High CO2","----","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","D/C","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----"
"198","CH05_41","HC","High CO2","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5"
"199","CH09_1","HC","High CO2","----","----","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J5","J5","J5","J5","J5","D","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----"
"200","CH09_2","HC","High CO2","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6"
"201","CH09_6","HC","High CO2","----","----","----","----","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","D","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----"
"202","CH09_9","HC","High CO2","----","----","----","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5"
"203","CH09_17","HC","High CO2","----","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","D","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----"
"204","CH09_20","HC","High CO2","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J7","J7","J7","J7","J7","J7","J7","J7","J7","J7","J7","J7","J7","J7","J7","J7","J7","J7","J7","J7","J7","J7","J7","J7","J7","J7","J7","J7","J7","J7","J7","J7","J7","J7"
"205","CH09_21","HC","High CO2","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","C","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----"
"206","CH09_24","HC","High CO2","----","J1","J1","J1","J1","J1","J1","J1","J1","J1","D/C","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----"
"207","CH09_29","HC","High CO2","----","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J7","J7","J7","J7","J7","J7","J7","J7","J7","J7","J7","J7","J7","J7","J7","J7","J7","J7","J7","J7","J7","J7","J7","J7","J7","J7","J7","J7","J7","J7","J7","J7","J7","J7","J7","J7","J7","J7","J7","J7","J7","J7","J7","J7","J7","J7","J7","J7","J7","J7","J7","J7","J7","J7","J7","J7","J7","J7","J7","J7","J7","J7","J7","J7","J7","J7","J7","J7","J7","J7","J7"
"208","CH09_31","HC","High CO2","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6","J6"
